Gene	Brain_expressed
WDR78	Yes
RERE	Yes_H
NBPF1	Unknown
HIVEP3	Yes
OMA1	Unknown
ELAVL4	Yes_H
SLC44A5	Yes
CDC14A	Yes
EPHX4	Yes
TTF2	Yes
PRG4	Yes
F5	Yes
TPR	Yes
EFCAB2	Yes
OBSCN	Yes
ACOT7	Yes
CAMTA1	Yes_H
PRDM16	Yes
PRKCZ	Yes_H
PEX14	Yes
DNAJC16	Yes
DHRS3	Yes
HP1BP3	Yes_H
ARHGEF10L	Yes
PAX7	Yes
EPHB2	Yes
TMCO4	No
LDLRAD2	Unknown
SRSF4	Yes
LCK	No
NKAIN1	Yes_H
RIMS3	Yes
MRPS15	Yes
MEAF6	Yes_H
ZMYM4	Yes_H
AGBL4	Yes
ST3GAL3	Yes
LEPRE1	Yes
MAST2	Yes_H
LOC388630	Unknown
ZFYVE9	Yes
DAB1	Yes
C1orf185	Unknown
SSBP3	Yes_H
RAVER2	Yes
FGGY	Yes
PDE4B	Yes
DOCK7	Yes
FPGT-TNNI3K	Unknown
LRRC7	Yes_H
ZRANB2	Yes_H
NEGR1	Yes_H
ST6GALNAC3	Yes
AK5	Yes_H
COL24A1	Yes
ZNF644	Yes_H
GTF2B	Yes
DPYD	Unknown
MTF2	Yes
TMEM56	Yes
TMEM56-RWDD3	Unknown
VAV3	Yes
HIPK1	Yes_H
KCND3	Yes
SLC22A15	Yes
EPS8L3	No
SPAG17	Yes
GOLPH3L	Yes
CELF3	Yes_H
PDE4DIP	Yes_H
LOC728855	Unknown
KCNN3	Yes
RIT1	Yes
KIRREL	Yes
ARHGEF11	Yes
IGSF8	Yes
IFI16	Yes
CD247	Yes
NOS1AP	Yes
LMX1A	Yes
ASTN1	Yes_H
RABGAP1L	Yes
KLHL20	Yes
SWT1	Yes
CEP350	Yes
KIF21B	Yes
HHAT	Yes
ETNK2	Yes
DSTYK	Yes
ESRRG	Yes
CENPF	Yes
USH2A	No
SPATA17	Yes
DNAH14	Yes
CDC42BPA	Yes_H
SIPA1L2	Yes
GNG4	Yes_H
C1orf96	Yes
CHRM3	Yes
LOC339529	Unknown
RYR2	Yes
RGS7	Yes_H
SMYD3	Yes
LOC100133331	Unknown
CDK11B	Unknown
UBE2J2	Yes
ATAD3A	Yes
SKI	Yes_H
CCDC27	Yes
WDR8	Unknown
MEGF6	Unknown
C1orf174	Yes
AJAP1	Yes
NPHP4	Yes
CHD5	Yes
KCNAB2	Yes
TAS1R1	Yes
ESPN	Yes
ERRFI1	Yes
SLC2A5	Yes
SPSB1	Yes
NMNAT1	Yes
UBE4B	Yes_H
KIF1B	Yes_H
PIK3CD	Yes
CASZ1	Yes
MTOR	Yes_H
MASP2	No
VPS13D	Yes
MAD2L2	Yes
CLCN6	Yes_H
PLOD1	Yes
TNFRSF8	Yes
TNFRSF1B	Yes
PRAMEF6	Unknown
PRAMEF16	Unknown
PRAMEF5	Unknown
C1orf126	Yes
KAZ	Unknown
FHAD1	Unknown
SPEN	Yes_H
CLCNKB	Yes_H
RSC1A1	Yes
FBXO42	Yes
DDI2	Yes
NECAP2	Yes
PADI1	No
PADI2	Yes
CROCC	Yes
ESPNP	Unknown
ACTL8	Yes
IGSF21	Yes_H
IFFO2	Unknown
CAPZB	Yes_H
UBR4	Yes_H
PINK1	Yes_H
PLA2G2D	Yes
LOC339505	Unknown
EIF4G3	Yes_H
ALPL	Yes
USP48	Yes
ECE1	Yes
CDC42	Yes_H
ZBTB40	Yes
LUZP1	Yes
C1orf128	Unknown
TCEA3	Yes
E2F2	Yes
NIPAL3	Yes
IL28RA	Yes
CLIC4	Yes_H
C1orf130	Unknown
STMN1	Yes
TMEM50A	Unknown
SYF2	Yes
MAN1C1	Yes
TMEM57	Unknown
CCDC21	Unknown
RPS6KA1	Yes
NUDC	Yes
TMEM222	Yes
PPP1R8	Yes
AHDC1	Yes
LOC644961	Unknown
EYA3	Yes
WASF2	Yes
EPB41	Yes
PHACTR4	Unknown
TAF12	Yes
YTHDF2	Yes_H
PTPRU	Yes
PUM1	Yes_H
ZCCHC17	Yes
KPNA6	Yes_H
BAI2	Yes_H
RBBP4	Yes
YARS	Yes_H
CSMD2	Yes
ZMYM6	Yes
DLGAP3	Unknown
GJB5	Yes
EIF2C3	Yes
KIAA0319L	Yes
GRIK3	Yes_H
INPP5B	Yes
MACF1	Yes_H
ZMPSTE24	Yes_H
TRIT1	Yes
SMAP2	Yes_H
SCMH1	Yes_H
KCNQ4	Yes
FOXJ3	Yes_H
CCDC30	Yes
PTPRF	Yes
KDM4A	Yes
RNF220	Yes_H
C1orf228	Yes
ERI3	Yes_H
GPBP1L1	Yes
EIF2B3	Yes
TESK2	Yes
ZSWIM5	Unknown
MMACHC	Yes
LRRC41	Yes_H
KIAA0494	Unknown
CYP4B1	Yes
CYP4Z1	Yes
CMPK1	Yes_H
SPATA6	Yes
SKINTL	Unknown
FAF1	Yes_H
NRD1	Yes_H
OSBPL9	Yes_H
BTF3L4	Yes_H
RNF11	Yes_H
EPS15	Yes_H
RAB3B	Yes
ZCCHC11	Yes
SCP2	Yes
SLC1A7	Yes
ZYG11A	No
DIO1	No
GLIS1	No
C1orf175-TTC4	Unknown
C1orf177	No
ACOT11	Yes
USP24	Yes
C1orf175	Unknown
PRKAA2	Yes_H
C1orf168	Yes
PPAP2B	Yes_H
C8A	No
LOC100131060	Unknown
LOC729467	Unknown
C1orf87	Yes
CYP2J2	Yes
NFIA	Yes_H
INADL	Yes
KANK4	No
PGM1	Yes
ATG4C	Yes_H
ITGB3BP	Yes
ROR1	Yes
CACHD1	Yes_H
LEPROT	Unknown
AK4	Yes
LEPR	Yes
JAK1	Yes_H
DNAJC6	Yes_H
SGIP1	Yes_H
GNG12	Yes
SLC35D1	Yes
IL12RB2	Yes
WLS	Yes
DIRAS3	Yes
RPE65	Yes
ANKRD13C	Yes
LRRC40	Yes_H
PTGER3	Yes
LRRIQ3	Yes
TYW3	Yes
C1orf173	Yes
TNNI3K	Yes
PIGK	Yes
ST6GALNAC5	Yes_H
USP33	Yes
ZZZ3	Yes_H
DNAJB4	Yes_H
MGC27382	Unknown
ELTD1	Yes
PTGFR	Yes
LPHN2	Yes_H
PRKACB	Yes_H
TTLL7	Yes_H
CTBS	Yes
SAMD13	Unknown
SPATA1	Yes
DDAH1	Yes_H
WDR63	Yes
LPAR3	Yes
MCOLN2	No
HS2ST1	Yes
PKN2	Yes_H
GBP3	Yes
GBP7	No
LRRC8B	Yes_H
LOC400759	Unknown
LRRC8C	Yes
CDC7	Yes
TGFBR3	Yes
HFM1	Yes
HSP90B3P	Unknown
KIAA1107	Unknown
GLMN	Yes
EVI5	Yes
FAM69A	Yes
CCDC18	Yes
DR1	Yes_H
ABCA4	Yes
DNTTIP2	Yes
BCAR3	Yes
FNBP1L	Yes_H
CNN3	Yes_H
ALG14	Yes
PTBP2	Yes_H
SNX7	Yes
LOC100129620	Unknown
LPPR5	Unknown
AGL	Yes
LRRC39	Yes
SLC30A7	Yes
OLFM3	Yes
COL11A1	Yes
MIR548H3	Unknown
NTNG1	Yes
SLC25A24	Yes
FAM102B	Unknown
SARS	Yes_H
CYB561D1	Yes
SORT1	Yes_H
AMPD2	Yes
AKNAD1	Yes
KCNA3	Yes
AHCYL1	Yes_H
C1orf183	Yes
ATP5F1	Yes
DENND2D	Yes
CAPZA1	Yes_H
WNT2B	Yes
PTPN22	Yes
MAGI3	Yes
CSDE1	Yes_H
TRIM33	Yes_H
DENND2C	Yes
SYCP1	Yes
VANGL1	Yes
PTGFRN	Yes
GDAP2	Yes_H
MAN1A2	Yes_H
FAM46C	Yes
WARS2	Yes
TBX15	Unknown
NOTCH2	Yes
PHGDH	Yes
EMBP1	Unknown
SRGAP2P2	Unknown
NBPF9	Unknown
POLR3C	Yes
POLR3GL	Yes
NBPF10	Unknown
PDZK1	No
BCL9	Yes
PRKAB2	Yes_H
LOC728989	Unknown
CHD1L	Yes
GPR89B	Unknown
OTUD7B	Yes
RPRD2	Yes
VPS45	Yes_H
APH1A	Yes
PI4KB	Yes
CDC42SE1	Yes
POGZ	Yes_H
VPS72	Yes_H
TUFT1	Yes
C2CD4D	Unknown
IL6R	Yes
ADAR	Yes_H
NUP210L	No
ATP8B2	Yes
DENND4B	Yes
FLAD1	Yes
GON4L	Yes
FAM189B	Yes
ASH1L	Yes_H
SEMA4A	Yes
NTRK1	Yes
IQGAP3	Yes
UBQLN4	Unknown
C1orf61	Yes_H
LOC646268	Unknown
SPTA1	Yes
CADM3	Yes_H
C1orf204	Unknown
SLAMF8	Yes
SLAMF7	No
ITLN1	No
SLAMF6	No
DCAF8	Yes
SLAMF1	No
F11R	Yes
FCGR2B	Yes
ATF6	Yes_H
PCP4L1	Unknown
DDR2	Yes
UAP1	Yes
PBX1	Yes_H
FAM78B	Unknown
TMCO1	Yes_H
UCK2	Yes
POU2F1	Yes
ILDR2	Yes
ADCY10	No
DCAF6	Yes_H
RCSD1	Yes
GPR161	Yes
NME7	Yes
C1orf114	Yes
C1orf112	Unknown
KIFAP3	Yes_H
FMO3	Yes
PRRC2C	Yes_H
PRRX1	Yes
C1orf129	No
DNM3	Yes
C1orf9	Yes
TNFSF4	Yes
SLC9A11	Yes
RC3H1	Unknown
TNR	Yes_H
KIAA0040	Yes
RFWD2	Yes
PAPPA2	Yes
FAM5B	Yes_H
RASAL2	Yes_H
RALGPS2	Yes
TDRD5	Yes
