"","gene","posterior","GLA.pvalue","FDR"
"1","NFYA",0.0843541721056891,0.035074551,0.0200163614633832
"2","ICA1",0.616206776871418,0.061679432,0.215979013592224
"3","CREBBP",0.0119875781295403,0.058661152,0.00529226988909783
"4","ARHGAP44",0.218659976464611,0.010189951,0.0547616994896358
"5","ADAM22",0.955269452010112,0.088759702,0.549644771854254
"6","AASS",0.687989834168438,0.073588644,0.240601919768183
"7","GABRA1",0.622641692617656,0.062640931,0.221872675607085
"8","EHD2",0.863653616897282,0.04475337,0.414093983805482
"9","ARNTL2",0.278139604111083,0.025509089,0.0715552641309609
"10","GRN",0.93327297506308,0.070757761,0.513235501270489
"11","TRIO",0.00841957365942336,0.000442708,0.00271658283771759
"12","LAMC3",0.865457576626325,0.0451731,0.41839268468949
"13","GINM1",0.824802529497618,0.037264093,0.357503789553772
"14","KMT2C",4.19495962727945e-05,2.86e-05,1.9525172447928e-05
"15","RIMBP2",0.320887497992282,0.02920241,0.0861785834175039
"16","POLD1",0.108009668017773,0.011178002,0.029099819119349
"17","SPEN",0.0222946703357262,0.026398591,0.00840052500339553
"18","SNAP91",0.938245330354812,0.074036969,0.525840297552684
"19","DHX29",0.0542356728182452,0.006222937,0.0135916271469623
"20","SYT1",0.363878736734962,0.008432904,0.0965819848264319
"21","FGFR3",0.919883152514763,0.063389502,0.485951152839551
"22","SRBD1",0.854766199170794,0.074486315,0.396196983475752
"23","RORA",0.747683911964842,0.027650123,0.265748929243746
"24","CAMK2A",0.77664870124381,0.055408497,0.296831307890236
"25","TCF3",0.0294629871751264,0.003657067,0.010125998260714
"26","CYBRD1",0.240911010163852,0.005247651,0.066860165495049
"27","LNX1",0.931361045827253,0.069585376,0.509979396822484
"28","GSDMB",0.908704958611388,0.098171977,0.463700148678907
"29","SEC31B",0.832417082341344,0.03853605,0.367592398089446
"30","ACACB",0.48232485193171,0.024228962,0.11068620432677
"31","CTTNBP2",0.00653882194493949,0.000339563,0.00166879240787089
"32","RIMS1",0.00749149631447887,0.001026348,0.00219812912665343
"33","SRCAP",0.0139247003002105,0.019020629,0.00577184935638187
"34","MEF2C",0.843403077728493,0.070958946,0.382214766874043
"35","KAT6A",0.224466030389428,0.039403595,0.0588022787967738
"36","P2RX5",0.00166227012920817,0.000218035,0.000449362351614667
"37","ZNF324",0.908421141206086,0.058324653,0.459830541636015
"38","MYNN",0.892050289150353,0.089222835,0.439598548888279
"39","CPNE3",0.536845945616909,0.051072304,0.145543948600409
"40","ACHE",0.0109985976866964,0.000583129,0.00335366090302366
"41","NOP14",0.0833095197328945,0.018271548,0.017797816268821
"42","AAMDC",0.64566227181651,0.037505106,0.227926812695791
"43","CNOT3",0.0658532190949317,0.015236417,0.0154581125736755
"44","CPXM1",0.844644283655176,0.040758783,0.386933435412626
"45","RAPGEF4",0.0111966032555724,0.000593852,0.00391387107106285
"46","AGO1",0.57639791476673,0.031133068,0.178727095476684
"47","KRT31",0.930000214672411,0.068778084,0.499960214829389
"48","MYO9B",0.0112817233134643,0.001520118,0.00440506122055628
"49","EP300",0.0216633198579922,0.013175551,0.00701918673272763
"50","NELFCD",0.943610266287709,0.0780096,0.531965684691864
"51","CELF4",0.534238343239004,0.014280025,0.1385564129394
"52","MGRN1",0.328648500546446,0.015446793,0.0911269490731966
"53","CTCF",0.00483242984640253,0.001676368,0.00112767801486327
"54","NDRG4",0.185707662234952,0.033910335,0.0431199507079177
"55","ERI1",0.193806194320282,0.004157986,0.0469837005441321
"56","DOT1L",0.0148271263816867,0.019887153,0.00624844288402949
"57","PRKD2",0.708376083763587,0.044780944,0.247009785028394
"58","HNRNPUL1",0.597698247468317,0.032948836,0.19777077417175
"59","RUNDC3B",0.291288317778426,0.013596814,0.0763320696450362
