"GLA_genenames"	"GLA_pvalue"
"CHD8"	2.55e-07
"SCN2A"	2.55e-07
"SYNGAP1"	2.55e-07
"ARID1B"	2.55e-07
"GRIN2B"	2.55e-07
"DYRK1A"	2.55e-07
"ADNP"	2.55e-07
"SUV420H1"	2.55e-07
"POGZ"	2.55e-07
"DSCAM"	2.55e-07
"TBR1"	2.55e-07
"KDM5B"	2.55e-07
"CHD2"	2.55e-07
"PTEN"	1.02e-06
"ANK2"	2.55e-07
"ZC3H4"	1.23e-05
"FOXP1"	1.69e-05
"WAC"	3.11e-05
"MYT1L"	8.53e-05
"KDM6B"	0.000119485
"KATNAL2"	2.5e-05
"CUL3"	2.25e-05
"ASH1L"	2.25e-05
"SPAST"	9.75e-05
"DNMT3A"	0.000101103
"BCL11A"	0.000226716
"SLC6A1"	0.000177696
"TCF7L2"	8.78e-05
"ILF2"	0.000104677
"SARM1"	0.000162377
"GIGYF1"	8.99e-05
"PHF2"	0.000215993
"SCARA3"	0.000247141
"ZNF366"	0.00044373
"MBD5"	0.000327308
"IRF2BPL"	0.000587214
"NCKAP1"	5.16e-05
"CACNA2D3"	0.000249183
"TNRC6B"	0.000472324
"TRIO"	0.000442708
"GABRB3"	0.000327308
"ACHE"	0.000583129
"ASXL3"	0.000685253
"INTS6"	0.00034569
"KDM4B"	0.001031965
"MYO9B"	0.001520118
"ETFB"	0.000330882
"DIP2A"	0.000454963
"CCIN"	0.000714869
"APH1A"	0.000516748
"PTK7"	0.000648999
"P2RX5"	0.000218035
"MLANA"	0.000473346
"WDFY3"	8.53e-05
"SETD5"	0.00055913
"TSPAN4"	0.000704146
"PRKAR1B"	0.001174428
"RBM48"	0.000892565
"TMEM39B"	0.001026348
"OR52M1"	0.000396242
"CSNK1E"	0.000856311
"ARHGAP5"	0.001041156
"SMARCA4"	0.002025123
"FBXO18"	0.000877247
"NR3C2"	0.000684232
"IL17RA"	0.000834355
"WNT7B"	0.001199449
"KLHL14"	0.001239788
"MYH10"	0.000945159
"MFRP"	0.000238971
"TBL1XR1"	0.000586193
"NAA15"	0.000488664
"BRSK2"	0.001926062
"COBL"	0.001111622
"ANKRD11"	0.007075674
"SPARCL1"	0.001034007
"PSMD12"	0.000708742
"CTCF"	0.001676368
"GIMAP8"	0.000887459
"PCDHA13"	0.002895731
"RFX7"	0.002240605
"FAM168B"	0.00145578
"SIX2"	0.0023029
"ERBB2IP"	0.000632149
"MED13L"	0.000907373
"MEMO1"	0.001574244
"RANBP17"	4.85e-05
"SPAG9"	0.001101409
"NFKBIL1"	0.001860703
"RNF146"	0.001368975
"NUAK1"	0.001719261
"ZNF490"	0.002174734
"FBXO11"	0.001469567
"RAI1"	0.004545547
"KAT2B"	0.001387868
