Approved symbol	Alias symbol	Previous symbol
A1BG-AS1	FLJ23569	NCRNA00181
A1BG-AS1	FLJ23569	A1BGAS
A1BG-AS1	FLJ23569	A1BG-AS
A1CF	ACF	
A1CF	ASP	
A1CF	ACF64	
A1CF	ACF65	
A1CF	APOBEC1CF	
A2M	FWP007	
A2M	S863-7	
A2M	CPAMD5	
A2ML1	FLJ25179	CPAMD9
A3GALT2	IGBS3S	A3GALT2P
A4GALT	A14GALT	
A4GALT	Gb3S	
A4GALT	P(k)	
A4GNT	alpha4GnT	
AACS	FLJ12389	
AACS	SUR-5	
AACS	ACSF1	
AADAC	DAC	
AADAC	CES5A1	
AADACL2	MGC72001	
AADACL3	OTTHUMG00000001887	
AADACL4	OTTHUMG00000001889	
AADAT	KATII	
AADAT	KAT2	
AAGAB	FLJ11506	
AAGAB	p34	
AAK1	KIAA1048	
AAK1	DKFZp686K16132	
AAMDC	PTD015	C11orf67
AAMDC	FLJ21035	C11orf67
AAMDC	CK067	C11orf67
AANAT	SNAT	
AAR2	bA234K24.2	C20orf4
AARD	LOC441376	C8orf85
AARS2	KIAA1270	AARSL
AARS2	bA444E17.1	AARSL
AARSD1	MGC2744	
AASDH	NRPS998	
AASDH	LYS2	
AASDH	ACSF4	
AASDHPPT	LYS5	
AASDHPPT	CGI-80	
AASDHPPT	AASD-PPT	
AASS	LORSDH	
AASS	LKRSDH	
AATF	DED	
AATF	CHE-1	
AATF	CHE1	
AATF	BFR2	
AATK	AATYK	
AATK	KIAA0641	
AATK	LMTK1	
AATK	LMR1	
AATK	AATYK1	
AATK	PPP1R77	
AAVS1	AAV	
ABALON	INXS	
ABAT	GABAT	
ABCA1	TGD	ABC1
ABCA1	TGD	HDLDT1
ABCA3	ABC-C	ABC3
ABCA3	EST111653	ABC3
ABCA3	LBM180	ABC3
ABCA4	FFM	STGD1
ABCA4	FFM	ABCR
ABCA4	FFM	RP19
ABCA4	FFM	STGD
ABCA4	ARMD2	STGD1
ABCA4	ARMD2	ABCR
ABCA4	ARMD2	RP19
ABCA4	ARMD2	STGD
ABCA4	CORD3	STGD1
ABCA4	CORD3	ABCR
ABCA4	CORD3	RP19
ABCA4	CORD3	STGD
ABCA5	EST90625	
ABCA6	EST155051	
ABCA7	ABCX	
ABCA8	KIAA0822	
ABCA9	EST640918	
ABCA10	EST698739	
ABCA11P	EST1133530	ABCA11
ABCA11P	FLJ14297	ABCA11
ABCA12	DKFZP434G232	ICR2B
ABCA12	LI2	ICR2B
ABCA13	FLJ33876	
ABCA13	FLJ33951	
ABCB1	P-gp	PGY1
ABCB1	P-gp	MDR1
ABCB1	P-gp	CLCS
ABCB1	CD243	PGY1
ABCB1	CD243	MDR1
ABCB1	CD243	CLCS
ABCB1	GP170	PGY1
ABCB1	GP170	MDR1
ABCB1	GP170	CLCS
ABCB1	ABC20	PGY1
ABCB1	ABC20	MDR1
ABCB1	ABC20	CLCS
ABCB4	MDR2	PGY3
ABCB4	MDR2	MDR3
ABCB4	PFIC-3	PGY3
ABCB4	PFIC-3	MDR3
ABCB4	GBD1	PGY3
ABCB4	GBD1	MDR3
ABCB5	EST422562	
ABCB5	ABCB5beta	
ABCB5	ABCB5alpha	
ABCB6	EST45597	
ABCB6	umat	
ABCB6	MTABC3	
ABCB7	EST140535	ABC7
ABCB7	Atm1p	ABC7
ABCB7	ASAT	ABC7
ABCB8	EST328128	
ABCB8	M-ABC1	
ABCB8	MABC1	
ABCB9	EST122234	
ABCB10	EST20237	
ABCB10	M-ABC2	
ABCB10	MTABC2	
ABCB10P1	M-ABC2	ABCB10P
ABCB10P1	M-ABC2	ABCB10P2
ABCB10P1	MABC2	ABCB10P
ABCB10P1	MABC2	ABCB10P2
ABCB11	ABC16	BSEP
ABCB11	ABC16	PFIC2
ABCB11	SPGP	BSEP
ABCB11	SPGP	PFIC2
ABCB11	PFIC-2	BSEP
ABCB11	PFIC-2	PFIC2
ABCB11	PGY4	BSEP
ABCB11	PGY4	PFIC2
ABCC1	GS-X	MRP
ABCC1	GS-X	MRP1
ABCC2	DJS	CMOAT
ABCC2	MRP2	CMOAT
ABCC2	cMRP	CMOAT
ABCC3	MRP3	
ABCC3	cMOAT2	
ABCC3	EST90757	
ABCC3	MLP2	
ABCC3	MOAT-D	
ABCC4	MRP4	
ABCC4	EST170205	
ABCC4	MOAT-B	
ABCC4	MOATB	
ABCC5	MRP5	
ABCC5	SMRP	
ABCC5	EST277145	
ABCC5	MOAT-C	
ABCC6	MRP6	ARA
ABCC6	MRP6	PXE
ABCC6	EST349056	ARA
ABCC6	EST349056	PXE
ABCC6	MLP1	ARA
ABCC6	MLP1	PXE
ABCC6	URG7	ARA
ABCC6	URG7	PXE
ABCC8	HI	SUR
ABCC8	HI	HRINS
ABCC8	PHHI	SUR
ABCC8	PHHI	HRINS
ABCC8	SUR1	SUR
ABCC8	SUR1	HRINS
ABCC8	MRP8	SUR
ABCC8	MRP8	HRINS
ABCC8	ABC36	SUR
ABCC8	ABC36	HRINS
ABCC8	HHF1	SUR
ABCC8	HHF1	HRINS
ABCC8	TNDM2	SUR
ABCC8	TNDM2	HRINS
ABCC9	SUR2	
ABCC9	CMD1O	
ABCC10	EST182763	
ABCC10	MRP7	
ABCC10	SIMRP7	
ABCC11	MRP8	
ABCC12	MRP9	
ABCC13	PRED6	
ABCC13	C21orf73	
ABCD1	AMN	ALD
ABCD1	ALDP	ALD
ABCD1	adrenoleukodystrophy	ALD
ABCD1P2	bA453N3.6	
ABCD2	ALDR	ALDL1
ABCD2	ALDRP	ALDL1
ABCD3	PMP70	PXMP1
ABCD3	ZWS2	PXMP1
ABCD4	PMP69	PXMP1L
ABCD4	P70R	PXMP1L
ABCD4	EST352188	PXMP1L
ABCE1	RLI	RNASEL1
ABCE1	RLI	RNASELI
ABCE1	RLI	RNS4I
ABCE1	OABP	RNASEL1
ABCE1	OABP	RNASELI
ABCE1	OABP	RNS4I
ABCF1	EST123147	ABC50
ABCF2	EST133090	
ABCF2	ABC28	
ABCF2	M-ABC1	
ABCF2	HUSSY-18	
ABCF3	EST201864	
ABCG1	ABC8	
ABCG2	EST157481	
ABCG2	MXR	
ABCG2	BCRP	
ABCG2	ABCP	
ABCG2	CD338	
ABCG4	WHITE2	
ABCG5	STSL	
ABCG8	GBD4	
ABHD1	LABH1	
ABHD1	FLJ36128	
ABHD2	LABH2	
ABHD3	LABH3	
ABHD4	FLJ12816	
ABHD5	CGI-58	
ABHD5	NCIE2	
ABHD8	FLJ11743	
ABHD8	MGC14280	
ABHD8	MGC2512	
ABHD10	FLJ11342	
ABHD11	PP1226	WBSCR21
ABHD11-AS1	NCRNA00035	WBSCR26
ABHD11-AS1	NCRNA00035	LINC00035
ABHD12	DKFZP434P106	C20orf22
ABHD12	dJ965G21.2	C20orf22
ABHD12	BEM46L2	C20orf22
ABHD12	ABHD12A	C20orf22
ABHD12B	BEM46L3	C14orf29
ABHD13	bA153I24.2	C13orf6
ABHD13	FLJ14906	C13orf6
ABHD13	BEM46L1	C13orf6
ABHD14A	DKFZP564O243	
ABHD14A	DORZ1	
ABHD14B	MGC15429	
ABHD14B	CIB	
ABHD15-AS1	linc-TP53I13	
ABHD15-AS1	lnc-TP53I13	
ABHD16A	NG26	BAT5
ABHD16A	D6S82E	BAT5
ABHD16B	dJ591C20.1	C20orf135
ABHD17A	MGC5244	C19orf27
ABHD17A	MGC5244	FAM108A1
ABHD17AP1	C1orf47	FAM108A2
ABHD17AP1	C1orf47	ABHD17AP2
ABHD17AP1	C1orf47	FAM108A3
ABHD17AP1	C1orf47	FAM108A11P
ABHD17AP1	C1orf47	FAM108A3P
ABHD17B	CGI-67	C9orf77
ABHD17B	CGI-67	FAM108B1
ABHD18	FLJ21106	C4orf29
ABI1	E3B1	SSH3BP1
ABI1	ABI-1	SSH3BP1
ABI2	ABI-2	
ABI2	AIP-1	
ABI2	ABI2B	
ABI2	AblBP3	
ABI2	argBPIA	
ABI2	SSH3BP2	
ABI3	NESH	
ABI3	SSH3BP3	
ABI3BP	NESHBP	
ABI3BP	DKFZP586L2024	
ABI3BP	TARSH	
ABL1	JTK7	ABL
ABL1	c-ABL	ABL
ABL1	p150	ABL
ABL2	ARG	ABLL
ABLIM1	abLIM	LIMAB1
ABLIM1	abLIM	ABLIM
ABLIM1	limatin	LIMAB1
ABLIM1	limatin	ABLIM
ABLIM2	KIAA1808	
ABLIM3	KIAA0843	
ABO	A3GALNT	
ABO	A3GALT1	
ABR	MDB	
ABRA	STARS	
ABRACL	PRO2013	C6orf115
ABRACL	HSPC280	C6orf115
ABRACL	Costars	C6orf115
ABTB1	BPOZ	
ABTB1	EF1ABP	
ABTB1	Btb3	
ABTB1	BTBD21	
ABTB2	DKFZP586C1619	
ABTB2	BTBD22	
ABTB2	ABTB2A	
ACAA2	DSAEC	
ACACA	ACC1	ACAC
ACACA	ACC1	ACC
ACACB	HACC275	
ACACB	ACC2	
ACACB	ACCB	
ACAD9	NPD002	
ACAD9	MGC14452	
ACAD10	MGC5601	
ACAD11	FLJ12592	
ACADL	LCAD	
ACADL	ACAD4	
ACADM	MCAD	
ACADM	MCADH	
ACADM	ACAD1	
ACADS	SCAD	
ACADS	ACAD3	
ACADSB	SBCAD	
ACADSB	ACAD7	
ACADVL	VLCAD	
ACADVL	LCACD	
ACADVL	ACAD6	
ACAN	CSPGCP	MSK16
ACAN	CSPGCP	CSPG1
ACAN	CSPGCP	AGC1
ACAP1	KIAA0050	CENTB1
ACAP2	KIAA0041	CENTB2
ACAP2	CNT-B2	CENTB2
ACAP3	KIAA1716	CENTB5
ACAT1	THIL	ACAT
ACBD3	GCP60	GOLPH1
ACBD3	GCP60	GOCAP1
ACBD3	PAP7	GOLPH1
ACBD3	PAP7	GOCAP1
ACBD4	FLJ13322	
ACBD5	DKFZp434A2417	
