Approved symbol	Alias symbol	Previous symbol
A1BG-AS1	FLJ23569	NCRNA00181
A1BG-AS1	FLJ23569	A1BGAS
A1BG-AS1	FLJ23569	A1BG-AS
A2ML1	FLJ25179	CPAMD9
A2MP1		A2MP
A3GALT2	IGBS3S	A3GALT2P
A3GALT2	IGB3S	A3GALT2P
AACSP1		AACSL
AAED1		C9orf21
AAMDC	PTD015	C11orf67
AAMDC	FLJ21035	C11orf67
AAMDC	CK067	C11orf67
AAR2	bA234K24.2	C20orf4
AARD	LOC441376	C8orf85
AARS2	KIAA1270	AARSL
AARS2	bA444E17.1	AARSL
ABCA1	TGD	ABC1
ABCA1	TGD	HDLDT1
ABCA2		ABC2
ABCA3	ABC-C	ABC3
ABCA3	EST111653	ABC3
ABCA3	LBM180	ABC3
ABCA4	FFM	STGD1
ABCA4	ARMD2	STGD1
ABCA4	CORD3	STGD1
ABCA4	FFM	ABCR
ABCA4	ARMD2	ABCR
ABCA4	CORD3	ABCR
ABCA4	FFM	RP19
ABCA4	ARMD2	RP19
ABCA4	CORD3	RP19
ABCA4	FFM	STGD
ABCA4	ARMD2	STGD
ABCA4	CORD3	STGD
ABCA11P	EST1133530	ABCA11
ABCA11P	FLJ14297	ABCA11
ABCA12	DKFZP434G232	ICR2B
ABCA12	LI2	ICR2B
ABCB1	P-gp	PGY1
ABCB1	CD243	PGY1
ABCB1	GP170	PGY1
ABCB1	ABC20	PGY1
ABCB1	P-gp	MDR1
ABCB1	CD243	MDR1
ABCB1	GP170	MDR1
ABCB1	ABC20	MDR1
ABCB1	P-gp	CLCS
ABCB1	CD243	CLCS
ABCB1	GP170	CLCS
ABCB1	ABC20	CLCS
ABCB4	MDR2	PGY3
ABCB4	PFIC-3	PGY3
ABCB4	GBD1	PGY3
ABCB4	MDR2	MDR3
ABCB4	PFIC-3	MDR3
ABCB4	GBD1	MDR3
ABCB7	EST140535	ABC7
ABCB7	Atm1p	ABC7
ABCB7	ASAT	ABC7
ABCB10P1	M-ABC2	ABCB10P
ABCB10P1	MABC2	ABCB10P
ABCB10P1	M-ABC2	ABCB10P2
ABCB10P1	MABC2	ABCB10P2
ABCB11	ABC16	BSEP
ABCB11	SPGP	BSEP
ABCB11	PFIC-2	BSEP
ABCB11	PGY4	BSEP
ABCB11	ABC16	PFIC2
ABCB11	SPGP	PFIC2
ABCB11	PFIC-2	PFIC2
ABCB11	PGY4	PFIC2
ABCC1	GS-X	MRP
ABCC1	GS-X	MRP1
ABCC2	DJS	CMOAT
ABCC2	MRP2	CMOAT
ABCC2	cMRP	CMOAT
ABCC6	MRP6	ARA
ABCC6	EST349056	ARA
ABCC6	MLP1	ARA
ABCC6	URG7	ARA
ABCC6	MRP6	PXE
ABCC6	EST349056	PXE
ABCC6	MLP1	PXE
ABCC6	URG7	PXE
ABCC8	HI	SUR
ABCC8	PHHI	SUR
ABCC8	SUR1	SUR
ABCC8	MRP8	SUR
ABCC8	ABC36	SUR
ABCC8	HHF1	SUR
ABCC8	TNDM2	SUR
ABCC8	HI	HRINS
ABCC8	PHHI	HRINS
ABCC8	SUR1	HRINS
ABCC8	MRP8	HRINS
ABCC8	ABC36	HRINS
ABCC8	HHF1	HRINS
ABCC8	TNDM2	HRINS
ABCD1	AMN	ALD
ABCD1	ALDP	ALD
ABCD1	adrenoleukodystrophy	ALD
ABCD2	ALDR	ALDL1
ABCD2	ALDRP	ALDL1
ABCD3	PMP70	PXMP1
ABCD3	ZWS2	PXMP1
ABCD4	PMP69	PXMP1L
ABCD4	P70R	PXMP1L
ABCD4	EST352188	PXMP1L
ABCE1	RLI	RNASEL1
ABCE1	OABP	RNASEL1
ABCE1	RLI	RNASELI
ABCE1	OABP	RNASELI
ABCE1	RLI	RNS4I
ABCE1	OABP	RNS4I
ABCF1	EST123147	ABC50
ABHD11	PP1226	WBSCR21
ABHD11-AS1	NCRNA00035	WBSCR26
ABHD11-AS1	NCRNA00035	LINC00035
ABHD12	DKFZP434P106	C20orf22
ABHD12	dJ965G21.2	C20orf22
ABHD12	BEM46L2	C20orf22
ABHD12	ABHD12A	C20orf22
ABHD12B	BEM46L3	C14orf29
ABHD13	bA153I24.2	C13orf6
ABHD13	FLJ14906	C13orf6
ABHD13	BEM46L1	C13orf6
ABHD16A	NG26	BAT5
ABHD16A	D6S82E	BAT5
ABHD16B	dJ591C20.1	C20orf135
ABHD17A	MGC5244	C19orf27
ABHD17A	MGC5244	FAM108A1
ABHD17AP1	C1orf47	FAM108A2
ABHD17AP1	C1orf47	ABHD17AP2
ABHD17AP1	C1orf47	FAM108A3
ABHD17AP1	C1orf47	FAM108A11P
ABHD17AP1	C1orf47	FAM108A3P
ABHD17AP3		FAM108A4
ABHD17AP3		FAM108A4P
ABHD17AP4		FAM108A5
ABHD17AP4		FAM108A5P
ABHD17AP5		FAM108A6
ABHD17AP5		FAM108A6P
ABHD17AP6		FAM108A7P
ABHD17AP7		FAM108A8P
ABHD17AP8		FAM108A9P
ABHD17AP9		FAM108A10P
ABHD17B	CGI-67	C9orf77
ABHD17B	CGI-67	FAM108B1
ABHD17C		FAM108C1
ABHD18	FLJ21106	C4orf29
ABI1	E3B1	SSH3BP1
ABI1	ABI-1	SSH3BP1
ABI1P1		SSH3BP1P
ABI1P1		ABI1P
ABL1	JTK7	ABL
ABL1	c-ABL	ABL
ABL1	p150	ABL
ABL2	ARG	ABLL
ABLIM1	abLIM	LIMAB1
ABLIM1	limatin	LIMAB1
ABLIM1	abLIM	ABLIM
ABLIM1	limatin	ABLIM
ABRACL	PRO2013	C6orf115
ABRACL	HSPC280	C6orf115
ABRACL	Costars	C6orf115
ACACA	ACC1	ACAC
ACACA	ACC1	ACC
ACAN	CSPGCP	MSK16
ACAN	CSPGCP	CSPG1
ACAN	CSPGCP	AGC1
ACAP1	KIAA0050	CENTB1
ACAP2	KIAA0041	CENTB2
ACAP2	CNT-B2	CENTB2
ACAP3	KIAA1716	CENTB5
ACAT1	THIL	ACAT
ACBD3	GCP60	GOLPH1
ACBD3	PAP7	GOLPH1
ACBD3	GCP60	GOCAP1
ACBD3	PAP7	GOCAP1
ACE	ACE1	DCP1
ACE	CD143	DCP1
ACER1		ASAH3
ACER2	FLJ41587	ASAH3L
ACER3	FLJ11238	PHCA
ACER3	APHC	PHCA
ACHE		YT
ACIN1	KIAA0670	ACINUS
ACIN1	fSAP152	ACINUS
ACKR1	CCBP1	FY
ACKR1	GPD	FY
ACKR1	Dfy	FY
ACKR1	CD234	FY
ACKR1	CCBP1	DARC
ACKR1	GPD	DARC
ACKR1	Dfy	DARC
ACKR1	CD234	DARC
ACKR2	CCR10	CMKBR9
ACKR2	D6	CMKBR9
ACKR2	CCR9	CMKBR9
ACKR2	CCR10	CCBP2
ACKR2	D6	CCBP2
ACKR2	CCR9	CCBP2
ACKR3	RDC1	CMKOR1
ACKR3	GPR159	CMKOR1
ACKR3	RDC1	CXCR7
ACKR3	GPR159	CXCR7
ACKR4	CCR11	CCRL1
ACKR4	CCBP2	CCRL1
ACKR4	VSHK1	CCRL1
ACKR4	CCX-CKR	CCRL1
ACKR4	PPR1	CCRL1
ACO1	IRP1	IREB1
ACO1	IREBP	IREB1
ACOD1	CAD	IRG1
ACOT6		C14orf42
ACOT8	hACTE-III	PTE1
ACOT8	hTE	PTE1
ACOT8	PTE-2	PTE1
ACOT8	NAP1	PTE1
ACOT11	STARD14	THEA
ACOT11	BFIT	THEA
ACOT11	KIAA0707	THEA
ACOT11	BFIT1	THEA
ACOT11	THEM1	THEA
ACOT13	HT012	THEM2
ACSL1	LACS2	FACL2
ACSL1	LACS	FACL2
ACSL1	ACS1	FACL2
ACSL1	LACS1	FACL2
ACSL1	FACL1	FACL2
ACSL3	ACS3	FACL3
ACSL3	PRO2194	FACL3
ACSL4	ACS4	FACL4
ACSL4	LACS4	FACL4
ACSL4	ACS4	MRX63
ACSL4	LACS4	MRX63
ACSL4	ACS4	MRX68
ACSL4	LACS4	MRX68
ACSL5	ACS5	FACL5
ACSL5	ACS2	FACL5
ACSL6	KIAA0837	FACL6
ACSL6	ACS2	FACL6
ACSL6	LACS5	FACL6
ACSL6	LACS2	FACL6
ACSM1	MACS1	BUCS1
ACSM2A	A-923A4.1	ACSM2
ACSM2A	MGC150530	ACSM2
ACSM2B	HXMA	ACSM2
ACSM2B	HYST1046	ACSM2
ACSM3	SA	SAH
ACSM6	bA310E22.3	C10orf129
ACSS1	dJ568C11.3	ACAS2L
ACSS1	AceCS2L	ACAS2L
ACSS1	MGC33843	ACAS2L
ACSS2	ACS	ACAS2
ACSS2	ACSA	ACAS2
ACSS2	AceCS	ACAS2
ACSS2	dJ1161H23.1	ACAS2
ACTA1	NEM3	ACTA
ACTBP12		ACTGP5
ACTC1	CMD1R	ACTC
ACTG1		ACTG
ACTG1		DFNA20
ACTG1		DFNA26
ACTG1P1		ACTGP1
ACTG1P1		ACT1GP1
ACTG1P2		ACTL2
ACTG1P2		ACTGP2
ACTG1P3		ACTGP3
ACTG1P4		ACTGP4
ACTG1P6		ACTGP6
ACTG1P7		ACTGP7
ACTG1P8		ACTGP8
ACTG1P9		ACTGP9
ACTG1P10		ACTL1
ACTG1P10		ACTGP10
ACTG1P24		POTENP
ACTG2	ACTSG	ACTL3
ACTG2	ACTSG	ACTA3
ACTL6B	BAF53B	ACTL6
ACTL10		C20orf134
ACTN1-AS1		C14orf84
ACTN4		FSGS1
ACTR1B	Arp1B	CTRN2
ACVR1	SKR1	ACVRLK2
ACVR1	ALK2	ACVRLK2
ACVR1	ACVR1A	ACVRLK2
ACVR1B	ALK4	ACVRLK4
ACVR1B	SKR2	ACVRLK4
ACVR1B	ActRIB	ACVRLK4
ACVR2A	ACTRII	ACVR2
ACVRL1	HHT2	ACVRLK1
ACVRL1	ALK1	ACVRLK1
ACVRL1	HHT	ACVRLK1
